"mono_rep1","mono_rep2","mono_rep3","ctrl_rep1","ctrl_rep2","repop_rep1","repop_rep2","repop_rep3"
"Ido2",0,0,0,0,0,0,0,0
"Ids",1539,879,962,1362,1471,2038,1250,1176
"Idua",506,261,342,492,454,457,259,401
"Ier2",1206,819,1476,1640,1676,3951,3017,3130
"Ier3",146,155,225,505,467,1922,1345,849
"Ier3ip1",654,399,449,536,569,561,378,313
"Ier5",1225,845,1172,3088,3512,4556,2887,3892
"Ier5l",6,6,6,9,4,3,10,3
"Iffo1",172,111,149,381,369,234,147,518
"Iffo2",260,113,151,91,110,163,101,214
"Ifi202b",0,0,0,0,1,0,0,0
"Ifi203",710,478,471,95,92,98,83,5
"Ifi204",1452,921,1044,508,367,2170,1098,710
"Ifi205",28,12,18,120,55,47,24,1
"Ifi27l1",542,330,328,658,523,245,250,308
"Ifi27l2a",4131,2002,2674,937,694,3435,1665,951
"Ifi27l2b",0,0,0,0,1,0,0,0
"Ifi30",8848,4404,6746,2081,2091,5049,3906,2492
"Ifi35",639,322,461,530,455,599,375,348
"Ifi44",240,153,203,59,75,363,102,54
"Ifi44l",1,0,0,0,0,0,0,0
"Ifi47",824,445,448,401,215,374,205,52
"Ifih1",458,286,273,270,282,633,248,373
"Ifit1",132,103,94,108,103,385,197,82
"Ifit2",661,448,518,480,397,2059,945,655
"Ifit3",214,185,245,294,298,1051,444,420
"Ifitm1",6,1,0,42,35,5,10,7
"Ifitm10",13,8,12,39,40,36,10,101
"Ifitm2",594,306,379,354,313,208,165,61
"Ifitm3",1288,794,1055,1621,1297,3118,1213,948
"Ifitm5",1,0,0,0,0,0,1,0
"Ifitm6",48,24,25,322,240,16,22,8
"Ifitm7",1,0,0,1,1,0,0,3
"Ifltd1",1,0,0,0,0,0,0,0
"Ifna1",0,0,0,0,0,0,0,0
"Ifna11",0,0,0,0,0,0,0,0
"Ifna12",0,0,0,0,0,0,0,0
"Ifna13",0,0,0,0,0,0,0,0
"Ifna14",0,0,0,0,0,0,0,0
"Ifna2",0,0,0,0,0,0,0,0
"Ifna4",0,0,0,0,0,0,0,0
"Ifna5",0,0,0,0,0,0,0,0
"Ifna6",0,0,0,0,0,0,0,0
"Ifna7",0,0,0,0,0,0,0,0
"Ifna9",0,0,0,0,0,0,0,0
"Ifnab",0,0,0,0,0,0,0,0
"Ifnar1",3825,2095,2086,487,471,895,645,599
"Ifnar2",2969,1494,1717,1513,1469,1641,988,1150
"Ifnb1",1,0,1,4,1,17,2,7
"Ifne",0,0,0,0,0,0,0,0
"Ifng",3,1,1,2,2,0,0,0
"Ifngr1",5702,3051,3293,8392,9121,7319,4531,5062
"Ifngr2",3011,1519,1854,1232,1193,2127,1329,1526
"Ifnk",0,2,1,0,0,0,0,0
"Ifnl2",0,0,0,0,0,0,0,0
"Ifnl3",0,0,0,0,0,0,0,0
"Ifnlr1",137,67,78,5,8,5,5,1
"Ifnz",0,0,0,0,0,0,0,0
"Ifrd1",177,99,117,186,189,151,76,91
"Ifrd2",245,104,141,43,53,56,39,40
"Ift122",93,48,45,26,22,28,28,30
"Ift140",343,159,261,87,106,143,104,191
"Ift172",271,158,181,95,132,132,77,205
"Ift20",287,174,183,86,127,119,109,93
"Ift27",153,84,123,88,59,63,37,42
"Ift43",28,20,19,6,13,11,7,5
"Ift46",316,177,228,229,231,234,164,218
"Ift52",721,402,430,363,337,439,299,247
"Ift57",109,40,70,22,20,29,34,26
"Ift74",49,31,31,15,18,14,7,22
"Ift80",109,49,66,24,35,39,18,34
"Ift81",23,12,19,6,15,25,10,26
"Ift88",97,46,54,22,45,50,38,45
"Igbp1",1957,1151,1290,591,558,1618,954,727
"Igbp1b",0,0,0,0,0,0,0,0
"Igdcc3",0,0,1,0,0,0,0,0
"Igdcc4",0,1,0,4,4,0,0,3
"Igf1",998,870,619,19,26,216,226,62
"Igf1r",44,35,29,93,129,47,14,132
"Igf2",33,3,17,10,38,10,8,37
"Igf2as",0,0,1,0,0,0,0,0
"Igf2bp1",0,0,0,0,0,0,0,0
"Igf2bp2",11,10,5,69,45,75,22,98
"Igf2bp3",7,2,4,8,10,16,23,22
"Igf2r",20,14,24,5,8,41,36,25
"Igfals",0,0,0,0,0,0,0,0
"Igfbp1",0,0,0,0,0,0,0,0
"Igfbp2",19,2,16,15,41,12,15,37
"Igfbp3",0,0,0,0,5,0,1,13
"Igfbp4",2904,1686,2047,408,529,2049,1039,1345
"Igfbp5",1,3,4,2,6,6,5,23
"Igfbp6",2,0,6,4,1,5,13,3
"Igfbp7",6,1,1,8,25,3,9,22
"Igfbpl1",0,0,0,0,0,0,0,0
"Igfl3",0,0,0,0,0,0,0,0
"Igflr1",3,3,0,0,0,2,1,7
"Igfn1",1,0,1,0,0,0,0,2
"Ighmbp2",114,53,57,26,37,32,19,81
"Igj",41,20,32,89,14,0,0,2
"Igll1",0,0,1,0,0,0,1,0
"Iglon5",0,0,1,2,0,0,0,2
"Igsf1",1,0,0,0,1,1,1,1
"Igsf10",13,14,18,3,9,5,0,20
"Igsf11",1,0,1,1,0,0,1,4
"Igsf21",0,0,0,0,1,0,0,0
"Igsf23",0,1,0,0,0,1,1,0
"Igsf3",0,0,3,0,1,2,2,1
"Igsf5",0,0,0,0,0,0,0,0
"Igsf6",1338,854,854,338,375,600,380,375
"Igsf8",1687,850,1388,495,590,850,536,626
"Igsf9",50,25,33,3,6,22,9,41
"Igsf9b",1,0,0,0,0,0,0,0
"Igtp",553,259,348,791,739,1222,438,473
"Ihh",7,0,0,2,1,0,0,0
"Iigp1",65,66,38,66,75,310,105,46
"Ik",1457,874,1089,417,568,724,444,956
"Ikbip",146,108,101,130,136,127,60,112
"Ikbkap",432,233,227,235,197,209,173,220
"Ikbkb",631,332,385,183,202,253,122,322
"Ikbke",25,20,20,11,8,4,4,8
"Ikbkg",593,317,348,439,443,400,275,269
"Ikzf1",2551,1468,1503,2700,2944,2826,1453,2442
"Ikzf2",6,5,6,24,43,13,5,25
"Ikzf3",13,6,5,1,1,3,1,0
"Ikzf4",0,1,0,2,1,0,0,0
"Ikzf5",240,128,139,152,184,175,119,141
"Il10",4,4,8,0,2,0,2,0
"Il10ra",4507,2562,2976,4507,5063,6739,3065,5583
"Il10rb",3503,2056,2324,1734,1759,2521,1584,1384
"Il11",0,0,0,3,0,2,1,1
"Il11ra1",282,124,203,174,170,193,92,167
"Il11ra2",0,0,0,0,0,0,0,0
"Il12a",0,0,0,0,1,0,0,0
"Il12b",1,3,5,5,1,18,14,8
"Il12rb1",7,3,4,1,1,7,2,5
"Il12rb2",21,14,17,23,15,27,19,32
"Il13",0,0,0,0,0,0,0,0
"Il13ra1",3426,1956,1831,3216,3065,4399,2650,1601
"Il13ra2",0,0,0,0,0,0,0,0
"Il15",77,45,43,130,91,92,53,31
"Il15ra",48,27,30,45,45,78,34,51
"Il16",957,503,615,1170,1355,1098,481,1185
"Il17a",0,0,0,0,0,0,0,0
"Il17b",0,0,0,0,0,0,0,0
"Il17c",0,0,0,0,1,0,0,0
"Il17d",0,0,0,0,1,0,0,0
"Il17f",0,0,0,0,0,0,0,0
"Il17ra",1669,848,1093,1441,1500,1424,1026,1119
"Il17rb",0,0,0,0,0,1,0,0
"Il17rc",1,0,0,0,4,2,2,2
"Il17rd",1,1,1,3,1,4,0,0
"Il17re",1,0,0,0,1,0,0,1
"Il18",154,78,108,211,205,214,116,96
"Il18bp",100,88,51,57,40,85,49,15
"Il18r1",13,2,2,5,1,0,0,0
"Il18rap",16,8,5,20,15,15,13,7
"Il19",0,0,5,0,0,0,0,0
"Il1a",474,447,510,825,833,1799,1602,1244
"Il1b",245,239,358,407,346,466,664,250
"Il1f10",0,0,0,0,0,0,0,0
"Il1f5",0,0,0,0,0,0,0,0
"Il1f6",0,0,0,0,0,0,0,0
"Il1f8",0,0,0,0,0,0,0,0
"Il1f9",19,13,6,25,32,3,8,0
"Il1r1",21,6,15,17,9,34,26,24
"Il1r2",7,3,6,30,28,10,1,2
"Il1rap",242,140,138,144,139,207,118,108
"Il1rapl1",0,0,0,0,0,0,0,0
"Il1rapl2",0,0,0,0,0,0,0,0
"Il1rl1",43,31,35,107,95,96,43,72
"Il1rl2",198,119,157,166,124,261,138,246
"Il1rn",124,82,82,302,178,124,80,38
"Il2",0,0,0,0,0,0,0,0
"Il20",0,0,0,0,0,0,0,0
"Il20ra",0,0,0,0,0,0,0,0
"Il20rb",2,7,0,2,2,0,1,4
"Il21",1,0,0,0,0,0,0,0
"Il21r",1477,787,1013,1677,1846,1552,977,1461
"Il22",1,0,0,0,0,0,0,0
"Il22ra1",2,1,0,0,1,0,0,0
"Il22ra2",2,1,0,9,4,1,0,0
"Il23a",0,0,0,0,1,0,1,0
"Il23r",0,0,0,0,0,0,0,0
"Il24",0,0,0,0,0,0,0,0
"Il25",0,0,0,0,0,0,0,0
"Il27",9,4,3,11,20,7,4,10
"Il27ra",13,5,5,10,17,9,3,11
"Il2ra",257,62,137,12,11,3,2,1
"Il2rb",42,22,19,31,9,2,2,5
"Il2rg",862,443,608,281,254,487,232,256
"Il3",0,0,0,0,0,0,0,0
"Il31",0,0,0,0,0,0,0,0
"Il31ra",0,3,0,0,0,0,0,0
"Il33",4,1,1,3,3,1,3,5
"Il34",0,1,1,1,1,0,2,2
"Il3ra",488,279,451,50,39,210,148,89
"Il4",1,0,0,2,1,0,0,0
"Il4i1",3,2,4,2,0,8,2,3
"Il4ra",3386,1870,2219,1561,1411,2040,1316,1817
"Il5",0,0,0,0,0,0,0,0
"Il5ra",1,2,2,6,4,1,3,3
"Il6",2,2,6,51,55,60,24,58
"Il6ra",1429,913,939,676,1113,1205,668,2065
"Il6st",762,407,411,2021,1550,866,670,1949
"Il7",0,0,1,0,0,0,0,0
"Il7r",539,302,311,423,425,419,221,377
"Il8",0,0,0,0,0,0,0,0
"Il9",0,0,0,0,0,0,0,0
"Il9r",0,1,0,0,0,0,0,0
"Ildr1",6,5,5,67,56,29,14,63
"Ildr2",5,1,2,57,70,43,14,43
"Ilf2",652,308,396,335,363,239,178,187
"Ilf3",850,421,567,307,376,384,211,426
"Ilk",2511,1208,1492,1266,1262,1322,850,961
"Ilkap",314,186,231,143,155,141,116,100
"Iltifb",0,0,0,0,0,0,0,0
"Ilvbl",639,376,389,777,721,707,463,443
"Immp1l",324,145,217,208,184,183,151,68
"Immp2l",7,11,9,11,8,5,0,3
"Immt",1158,586,727,367,447,529,336,533
"Imp3",551,254,367,336,291,391,236,212
"Imp4",736,362,506,454,477,295,221,283
"Impa1",800,416,474,678,675,566,374,347
"Impa2",254,108,152,35,35,49,41,15
"Impact",181,96,93,151,126,85,46,98
"Impad1",678,362,390,368,338,388,299,188
"Impdh1",75,26,44,32,39,30,21,35
"Impdh2",1858,886,1182,598,520,717,502,421
"Impg1",0,0,0,0,1,0,0,0
"Impg2",0,0,0,1,0,0,0,0
"Ina",1,0,0,0,1,0,0,0
"Inadl",10,7,10,11,23,8,1,26
"Inca1",5,4,5,1,0,4,1,1
"Incenp",713,287,469,29,42,68,52,154
"Inf2",140,90,94,21,20,42,37,23
"Ing1",430,207,299,211,264,275,158,264
"Ing2",134,76,84,62,63,80,47,57
"Ing3",308,143,185,124,141,183,92,129
"Ing4",570,301,381,379,363,321,254,288
"Ing5",306,168,245,145,154,154,82,113
"Inha",0,0,0,1,0,0,0,0
"Inhba",1,0,0,2,0,0,0,2
"Inhbb",0,0,1,0,0,0,0,0
"Inhbc",0,0,0,0,0,0,0,0
"Inhbe",0,0,0,0,0,0,0,0
"Inip",540,279,328,424,468,355,168,271
"Inmt",1,1,0,1,0,1,1,0
"Ino80",315,156,191,45,60,102,61,165
"Ino80b",199,109,144,104,110,125,82,105
"Ino80c",501,254,300,440,385,335,266,260
"Ino80d",287,123,142,117,216,206,94,232
"Ino80e",356,165,265,217,178,142,112,191
"Inpp1",63,23,54,54,64,45,33,29
"Inpp4a",62,43,55,50,24,55,38,76
"Inpp4b",142,91,79,74,104,118,54,125
"Inpp5a",83,59,59,57,68,79,51,47
"Inpp5b",384,200,272,183,248,228,154,234
"Inpp5d",7352,3861,5101,3745,4955,4715,2704,6923
"Inpp5e",174,102,138,101,132,98,84,102
"Inpp5f",302,167,204,155,122,126,74,105
"Inpp5j",0,1,4,10,2,2,3,0
"Inpp5k",707,444,465,542,517,538,301,486
"Inppl1",975,515,711,325,364,469,360,415
"Ins1",0,0,0,0,0,0,0,0
"Ins2",0,0,0,0,0,0,0,0
"Insc",0,0,1,1,0,1,0,0
"Insig1",231,155,99,209,158,173,147,131
"Insig2",298,146,171,500,501,434,262,266
"Insl3",0,0,0,0,1,0,0,0
"Insl5",0,0,0,0,0,0,0,0
"Insl6",5,4,7,1,0,0,0,0
"Insm1",2,1,1,0,0,1,0,0
"Insm2",0,0,0,0,0,0,0,0
"Insr",251,149,161,175,196,210,143,299
"Insrr",0,0,0,0,0,0,0,1
"Ints1",593,282,406,109,133,171,107,408
"Ints10",347,186,215,209,200,136,102,124
"Ints12",531,285,315,173,162,285,169,157
"Ints2",248,122,178,102,110,103,87,64
"Ints3",763,357,576,369,459,476,291,473
"Ints4",586,336,366,282,298,267,186,219
"Ints5",432,193,238,241,235,218,160,148
"Ints6",144,53,76,49,79,100,31,63
"Ints7",368,180,261,87,107,124,74,148
"Ints8",295,133,192,154,185,244,129,69
"Ints9",356,182,219,152,174,182,113,161
"Intu",60,25,44,33,47,30,22,33
"Invs",141,48,86,65,81,63,46,60
"Ip6k1",860,451,536,987,1034,843,574,730
"Ip6k2",176,112,141,207,193,127,81,142
"Ip6k3",3,2,3,6,9,17,12,13
"Ipcef1",201,92,95,112,114,180,78,151
"Ipmk",625,367,398,374,326,393,280,308
"Ipo11",625,345,365,358,360,395,275,213
"Ipo13",616,313,429,412,498,442,296,405
"Ipo4",740,378,511,284,260,369,254,308
"Ipo5",3308,1666,2024,956,1044,1408,881,1107
"Ipo7",1722,933,934,487,556,977,700,450
"Ipo8",646,332,424,248,313,309,210,178
"Ipo9",1728,808,1042,436,576,657,460,626
"Ipp",152,81,95,98,129,109,65,64
"Ippk",116,60,103,56,54,63,33,34
"Ipw",0,0,0,0,0,0,0,0
"Iqca",1,0,0,0,1,0,0,0
"Iqcb1",46,28,31,59,42,36,24,31
"Iqcc",83,36,53,30,34,29,20,23
"Iqcd",5,2,5,0,3,3,2,1
"Iqce",213,86,117,37,50,74,32,130
"Iqcf1",0,0,0,0,0,0,0,0
"Iqcf3",0,0,0,0,0,0,0,0
"Iqcf4",0,0,0,0,0,0,0,0
"Iqcf5",0,0,0,0,0,0,0,0
"Iqcf6",0,0,0,0,0,0,0,0
"Iqcg",6,2,2,1,4,2,0,3
"Iqch",0,0,0,2,1,0,0,1
"Iqcj",0,0,0,0,0,0,0,0
"Iqck",4,6,5,4,2,8,0,8
"Iqgap1",4589,2461,2957,163,170,309,258,232
"Iqgap2",282,184,189,9,15,8,7,19
"Iqgap3",445,217,307,86,75,102,59,124
"Iqsec1",299,143,206,88,125,134,96,239
"Iqsec2",264,161,204,126,254,183,109,290
"Iqsec3",2,1,5,2,1,0,1,2
"Iqub",1,0,0,0,1,0,1,1
"Irak1",914,714,829,303,391,603,434,549
"Irak1bp1",23,15,9,5,5,13,8,1
"Irak2",640,325,422,627,594,475,291,611
"Irak3",131,75,61,37,48,50,21,28
"Irak4",461,267,283,189,195,267,164,206
"Ireb2",915,503,471,444,473,606,394,344
"Irf1",596,318,397,658,512,631,338,584
"Irf2",791,416,526,600,534,529,333,660
"Irf2bp1",422,212,321,406,444,346,189,327
"Irf2bp2",771,437,640,354,591,643,396,1028
"Irf2bpl",720,384,474,722,655,392,419,1055
"Irf3",473,190,292,336,347,258,210,245
"Irf4",40,28,22,86,85,19,11,48
"Irf5",3383,1703,2436,2471,2628,2129,1357,2323
"Irf6",1,1,6,0,1,2,1,4
"Irf7",1141,783,1160,914,785,2299,862,792
"Irf8",5867,3285,3985,4467,4426,5039,3605,4362
"Irf9",1305,686,818,1069,956,1090,609,753
"Irg1",47,35,29,64,31,54,26,46
"Irgc1",3,1,2,1,2,0,0,0
"Irgm1",952,464,498,732,604,1582,624,645
"Irgm2",513,279,279,812,708,718,368,526
"Irgq",281,151,158,180,180,214,109,178
"Irs1",1,0,0,1,0,0,0,2
"Irs2",141,84,105,37,35,71,55,97
"Irs3",4,2,5,7,15,1,4,0
"Irs4",0,0,0,0,0,0,0,0
"Irx1",0,0,0,0,0,0,0,0
"Irx2",0,0,0,0,0,0,0,0
"Irx3",0,0,0,0,0,0,0,0
"Irx4",0,0,0,0,0,0,0,0
"Irx5",0,0,0,0,0,0,0,0
"Irx6",0,0,0,0,0,0,0,0
"Isca1",599,350,408,845,789,710,407,443
"Isca2",179,103,139,133,133,92,65,90
"Iscu",938,520,609,728,663,827,604,653
"Isg15",348,196,324,561,380,904,388,282
"Isg20",62,31,50,110,58,139,80,76
"Isg20l2",437,179,274,140,177,196,117,169
"Isl1",0,0,0,0,0,0,0,0
"Isl2",0,0,0,0,0,0,0,0
"Islr",1,1,0,1,3,0,0,1
"Islr2",0,1,2,0,3,0,0,0
"Ism1",0,0,0,0,0,0,0,0
"Isoc1",1359,684,772,520,560,1001,671,496
"Isoc2a",398,192,272,118,134,168,141,167
"Isoc2b",68,39,55,97,63,74,49,64
"Ispd",19,11,17,5,2,7,4,2
"Ist1",787,452,540,729,748,764,452,478
"Isx",0,0,0,0,0,0,0,0
"Isy1",614,279,406,257,280,261,206,215
"Isyna1",911,445,664,430,420,303,284,428
"Itch",1296,731,770,1087,1198,1212,806,805
"Itfg1",1493,884,921,1312,1248,1233,779,683
"Itfg2",117,64,61,78,39,54,25,88
"Itfg3",1333,712,961,290,360,512,376,321
"Itga1",10,4,1,4,4,0,0,6
"Itga10",1,0,3,2,4,3,2,3
"Itga11",0,0,0,1,0,0,0,0
"Itga2",4,0,1,3,0,0,3,0
"Itga2b",2,0,2,1,1,1,1,0
"Itga3",2,0,0,2,3,0,0,3
"Itga4",2409,1350,1441,172,123,267,307,64
"Itga5",711,384,554,178,199,311,182,312
"Itga6",7600,4054,4485,1906,2311,4259,2970,3010
"Itga7",0,0,2,2,1,1,0,5
"Itga8",85,51,59,2,6,9,5,0
"Itga9",1858,843,1174,515,668,612,281,840
"Itgad",3,1,3,0,3,2,0,0
"Itgae",4,3,8,20,33,4,2,27
"Itgal",5686,3084,3842,330,291,641,478,117
"Itgam",12459,7311,8035,12581,14718,19533,10760,16896
"Itgav",1586,933,936,1098,1201,1041,718,625
"Itgax",2202,1147,1563,409,396,1282,535,784
"Itgb1",7352,4148,4645,3252,3683,4752,2822,3187
"Itgb1bp1",418,191,233,159,166,199,160,136
"Itgb1bp2",0,0,0,0,0,0,0,0
"Itgb2",6786,3840,4747,5818,5468,9812,5693,7560
"Itgb2l",21,6,3,98,108,13,4,3
"Itgb3",54,49,32,727,691,786,407,570
"Itgb3bp",83,35,23,44,23,39,24,34
"Itgb4",5,1,2,1,1,0,1,7
"Itgb5",23626,12576,17896,15137,16354,25660,14711,23384
"Itgb6",0,0,0,0,1,0,0,0
"Itgb7",132,82,84,315,181,25,15,12
"Itgb8",31,13,10,1,0,4,4,2
"Itgbl1",0,1,0,0,0,2,1,0
"Itih1",0,0,0,0,0,0,0,0
"Itih2",0,0,0,1,2,0,0,3
"Itih3",2,0,0,1,0,0,1,10
"Itih4",0,0,0,0,0,0,0,0
"Itih5",6,6,7,11,23,1,2,17
"Itk",20,10,10,1,1,0,1,2
"Itln1",0,0,0,0,0,0,0,0
"Itm2a",18,15,18,38,101,11,18,58
"Itm2b",34087,22034,23304,48128,44036,62002,34208,37015
"Itm2c",8719,4738,5877,12816,11651,11988,7284,7666
"Itpa",470,212,311,213,163,164,113,139
"Itpk1",261,135,174,185,215,192,98,216
"Itpka",3,2,1,0,3,5,2,1
"Itpkb",487,241,329,240,342,338,133,485
"Itpkc",179,108,135,105,151,157,82,154
"Itpr1",97,46,68,35,33,41,17,80
"Itpr2",650,383,473,417,413,607,277,1092
"Itpr3",262,135,213,36,32,72,38,204
"Itprip",277,145,204,95,111,96,55,67
"Itpripl1",775,391,504,956,1206,719,298,697
"Itpripl2",3015,1585,1874,959,968,2159,1265,1238
"Itsn1",597,284,430,33,45,35,38,39
"Itsn2",695,406,485,88,115,271,132,394
"Ivd",504,236,277,181,223,284,183,240
"Ivl",1,0,0,0,0,0,0,0
"Ivns1abp",5343,2823,3532,4155,5155,4970,3246,3427
"Iws1",322,165,191,97,133,149,93,153
"Iyd",0,0,0,0,0,0,0,0
"Izumo1",0,0,0,0,1,0,0,0
"Izumo2",0,0,0,0,0,0,0,0
"Izumo3",0,0,0,0,0,0,0,0
"Izumo4",24,19,23,12,14,19,13,11
"Jag1",239,145,132,8,8,21,20,12
"Jag2",121,66,84,41,53,59,30,84
"Jagn1",350,195,249,429,377,377,237,188
"Jak1",2212,1335,1446,1227,1534,1604,895,1915
"Jak2",423,267,296,294,316,286,204,331
"Jak3",386,232,291,389,418,576,524,622
"Jakmip1",2,0,1,0,0,1,1,0
"Jakmip2",0,0,0,0,0,0,0,0
"Jakmip3",0,0,0,0,0,0,0,0
"Jam2",15,6,9,930,901,422,245,502
"Jam3",6,2,3,140,196,11,5,45
"Jarid2",229,97,141,58,71,69,42,146
"Jazf1",28,26,19,8,5,9,8,1
"Jdp2",217,168,225,50,55,86,83,52
"Jhdm1d",918,595,546,431,677,737,461,494
"Jkamp",398,229,222,477,351,381,228,251
"Jmjd1c",751,425,433,208,270,258,144,925
"Jmjd4",112,30,65,57,75,71,41,71
"Jmjd6",196,89,132,101,110,170,61,143
"Jmjd7",76,51,77,49,24,36,33,17
"Jmjd8",293,137,192,184,195,191,116,203
"Jmy",238,162,125,111,153,194,119,213
"Josd1",544,272,409,391,359,349,279,272
"Josd2",223,90,157,88,81,120,96,105
"Jph1",0,0,0,0,0,0,0,0
"Jph2",0,0,0,0,0,0,0,1
"Jph3",8,0,4,71,51,15,9,21
"Jph4",3,3,2,3,8,0,2,6
"Jpx",20,13,16,19,20,20,10,16
"Jrk",41,25,13,29,24,34,10,35
"Jrkl",60,32,26,66,52,50,25,40
"Jsrp1",0,0,0,0,0,0,0,0
"Jtb",444,255,290,333,282,373,245,182
"Jun",3634,2702,3601,6900,10626,8782,5705,14863
"Junb",3595,3310,4774,6446,7366,13041,9419,14532
"Jund",957,804,1181,1388,1936,1817,1642,4701
"Jup",316,183,257,431,602,376,171,825
"Kalrn",4,0,2,4,8,12,1,20
"Kank1",1,1,1,3,2,1,0,7
"Kank2",428,285,321,10,35,63,66,47
"Kank3",126,66,70,33,43,52,39,65
"Kank4",0,0,0,0,3,0,0,1
"Kansl1",677,363,453,277,415,401,220,503
"Kansl1l",213,120,105,157,191,201,79,115
"Kansl2",537,275,349,349,368,344,211,342
"Kansl3",347,200,245,114,144,176,92,233
"Kap",0,0,0,0,0,0,0,0
"Kars",1319,704,865,331,389,506,334,437
"Kat2a",570,285,358,205,290,240,163,283
"Kat2b",351,206,208,145,171,208,131,154
"Kat5",356,181,199,279,271,202,144,229
"Kat6a",772,404,553,230,359,347,142,1048
"Kat6b",75,51,49,14,23,24,9,109
"Kat7",1205,599,770,748,764,619,416,507
"Kat8",152,99,90,146,142,120,110,82
"Katna1",347,190,228,171,204,237,134,125
"Katnal1",78,53,67,50,77,66,24,59
"Katnal2",0,2,0,0,0,0,0,0
"Katnb1",217,90,133,75,66,63,43,63
"Katnbl1",220,130,153,134,111,88,76,52
"Kazald1",4,2,4,4,1,3,0,0
"Kazn",3,3,4,0,3,8,1,3
"Kbtbd11",500,191,227,29,27,111,147,16
"Kbtbd12",4,4,3,12,9,6,1,12
"Kbtbd13",0,0,0,0,0,0,0,0
"Kbtbd2",548,327,343,501,628,579,300,467
"Kbtbd3",46,26,23,38,37,39,24,18
"Kbtbd4",240,108,173,180,178,215,117,127
"Kbtbd7",226,165,142,259,262,187,143,115
"Kbtbd8",58,29,38,39,55,86,42,77
"Kcmf1",685,376,412,533,513,509,327,422
"Kcna1",0,0,0,1,0,1,0,0
"Kcna10",0,0,0,0,0,0,0,0
"Kcna2",3,0,0,1,2,0,0,2
"Kcna3",209,76,96,7,5,30,24,35
"Kcna4",0,0,0,0,0,0,0,0
"Kcna5",0,0,0,0,1,0,0,0
"Kcna6",0,1,0,0,0,0,0,0
"Kcna7",0,0,1,5,3,4,3,3
"Kcnab1",0,0,0,0,1,3,0,0
"Kcnab2",1175,545,777,57,43,20,43,31
"Kcnab3",6,4,4,1,4,4,0,4
"Kcnb1",7,3,4,3,1,1,2,5
"Kcnb2",0,0,0,0,0,0,0,0
"Kcnc1",0,0,0,0,1,0,0,2
"Kcnc2",0,0,0,3,9,0,0,3
"Kcnc3",1,2,0,1,0,1,0,0
"Kcnc4",0,0,0,0,1,1,0,3
"Kcnd1",103,51,78,367,449,501,245,437
"Kcnd2",1,0,0,0,0,0,0,0
"Kcnd3",0,1,0,1,3,5,5,7
"Kcne1",0,0,0,0,0,0,0,0
"Kcne1l",1,0,0,0,0,2,1,0
"Kcne2",6,0,5,0,13,5,7,8
"Kcne3",12,9,12,4,9,0,0,0
"Kcne4",0,0,0,0,1,0,0,2
"Kcnf1",0,0,0,0,0,0,0,0
"Kcng1",0,0,0,0,0,0,0,0
"Kcng2",22,12,14,9,10,4,2,6
"Kcng3",0,0,0,0,0,0,0,0
"Kcng4",0,0,0,0,0,0,0,0
"Kcnh1",1,0,0,2,3,1,0,1
"Kcnh2",5,1,0,2,1,2,2,5
"Kcnh3",0,1,0,0,0,0,0,0
"Kcnh4",1,0,1,1,2,7,0,8
"Kcnh5",0,0,0,0,0,0,0,0
"Kcnh6",0,0,0,0,0,0,0,0
"Kcnh7",0,0,0,0,1,0,0,0
"Kcnh8",0,0,0,0,0,0,0,0
"Kcnip1",0,0,0,0,0,1,0,0
"Kcnip2",0,2,1,0,1,1,0,0
"Kcnip3",73,75,75,108,80,77,32,133
"Kcnip4",4,3,0,0,1,1,0,0
"Kcnj1",0,0,0,1,0,0,0,0
"Kcnj10",1114,498,554,87,89,131,101,112
"Kcnj11",0,0,0,0,0,0,1,0
"Kcnj12",1,1,1,2,2,3,5,5
"Kcnj13",5,1,2,2,14,0,7,8
"Kcnj14",0,0,3,2,1,5,3,1
"Kcnj15",0,0,0,0,2,1,0,1
"Kcnj16",2,0,3,13,13,2,3,4
"Kcnj2",84,40,35,128,74,90,73,97
"Kcnj3",0,0,0,0,0,0,0,0
"Kcnj4",1,0,0,0,0,0,0,0
"Kcnj5",0,0,0,0,0,0,0,0
"Kcnj6",0,0,0,0,0,0,0,0
"Kcnj8",1,0,2,2,2,0,0,0
"Kcnj9",5,4,5,3,7,2,1,13
"Kcnk1",3,0,7,6,6,1,1,1
"Kcnk10",0,0,0,0,0,0,0,1
"Kcnk12",14,1,9,199,226,106,49,131
"Kcnk13",739,443,532,1020,941,1124,531,759
"Kcnk15",0,0,0,0,0,0,0,0
"Kcnk16",0,0,0,0,0,0,0,0
"Kcnk18",0,0,0,0,0,0,0,0
"Kcnk2",0,0,0,1,0,0,0,2
"Kcnk3",0,0,0,1,0,0,0,1
"Kcnk4",0,0,0,0,0,0,0,0
"Kcnk5",2,2,1,0,0,0,0,0
"Kcnk6",1458,941,1134,1403,1733,2951,1457,2420
"Kcnk7",0,0,0,0,2,0,0,0
"Kcnk9",0,0,0,0,1,0,0,1
"Kcnma1",1,2,2,45,50,35,9,85
"Kcnmb1",4,5,6,1,2,1,1,1
"Kcnmb2",0,0,0,0,0,0,0,0
"Kcnmb3",0,0,0,0,0,0,0,0
"Kcnmb4",4,0,0,0,1,1,0,0
"Kcnn1",8,4,12,5,2,3,4,7
"Kcnn2",0,0,0,1,0,0,0,0
"Kcnn3",0,0,0,0,0,0,0,3
